serialid,tnscntry,isocntry,corruption,patronage,public_tender,widespread,abuse,bidding,procurement_national,procurement_local,transparency,connections,favouritism,petty_corruption,bribing,reported,court,fined,sector,employees,age,turnover
1105,5,ES,2,3,9,1,1,1,1,1,4,1,1,4,4,4,4,4,3,3,3,1
1106,5,ES,2,2,4,2,2,2,2,2,3,3,3,2,3,3,3,3,4,2,4,3
1107,5,ES,3,3,9,2,2,1,1,1,4,2,1,1,4,3,3,3,6,1,4,1
1110,5,ES,2,3,1,1,1,1,2,1,4,2,1,4,4,3,3,3,4,1,4,1
1111,5,ES,1,1,9,1,1,1,1,1,3,2,2,3,1,2,1,3,6,1,4,1
1112,5,ES,1,2,2,1,2,2,2,2,3,2,2,3,3,1,2,2,6,4,3,1
1113,5,ES,1,2,9,2,2,3,2,1,4,2,1,3,3,1,3,1,2,1,4,2
1114,5,ES,3,4,9,1,2,2,1,1,4,3,1,3,3,2,3,3,4,1,4,1
1115,5,ES,4,1,9,1,1,1,1,1,4,1,1,4,4,3,3,3,4,1,2,1
1116,5,ES,4,4,9,1,2,2,2,2,4,4,1,4,4,3,3,3,1,3,2,3
1118,5,ES,1,2,9,1,2,1,2,1,2,1,1,4,2,2,2,1,4,3,4,1
1119,5,ES,4,4,9,1,3,3,1,4,4,2,1,3,3,4,4,4,1,1,4,2
1121,5,ES,4,4,9,1,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3
1124,5,ES,1,1,2,2,3,4,3,3,3,3,1,3,4,2,2,3,4,2,3,1
1127,5,ES,3,3,9,2,2,3,3,3,4,4,2,2,3,2,2,3,5,2,3,3
1128,5,ES,2,3,1,2,2,3,2,2,2,2,2,3,3,2,2,3,4,3,4,1
1130,5,ES,1,1,1,2,1,1,2,1,4,2,1,3,1,3,3,3,6,2,4,3
1133,5,ES,1,2,9,1,2,2,2,1,4,3,1,4,4,3,3,3,6,1,3,2
1134,5,ES,4,4,9,1,1,3,2,2,4,2,1,3,3,2,2,2,1,3,4,1
1139,5,ES,4,4,9,1,2,2,2,2,3,4,1,3,3,2,1,3,3,4,4,1
1140,5,ES,2,2,4,2,2,2,1,1,4,1,1,3,2,3,3,3,4,2,4,2
1141,5,ES,4,4,1,1,2,2,2,2,1,1,1,3,4,3,4,4,4,1,4,1
1143,5,ES,4,4,9,1,1,1,1,1,4,1,1,4,4,1,1,1,2,1,4,3
1144,5,ES,1,1,9,1,1,3,1,1,4,1,1,4,4,2,3,3,4,2,3,3
1147,5,ES,2,3,9,1,2,3,2,2,3,2,1,4,4,3,2,4,4,3,4,1
1149,5,ES,4,4,2,2,2,2,2,2,3,3,2,2,3,3,2,3,4,3,4,3
1150,5,ES,4,3,9,2,2,1,2,1,3,3,1,2,2,3,3,3,6,3,4,1
1151,5,ES,1,1,9,1,1,4,1,1,3,2,1,1,1,3,3,4,2,1,4,1
1152,5,ES,1,1,9,2,2,1,2,3,3,1,3,3,3,2,2,2,4,2,4,2
1153,5,ES,3,2,9,1,1,3,1,1,4,2,1,4,4,4,4,4,4,1,2,2
1154,5,ES,3,3,9,1,2,2,2,3,3,3,3,3,3,3,3,3,3,1,4,1
1155,5,ES,4,2,9,2,2,2,2,2,3,3,2,3,3,2,3,3,3,2,4,3
1156,5,ES,2,3,9,2,2,3,3,3,3,3,1,3,2,1,1,1,4,2,4,3
1157,5,ES,4,4,9,1,2,2,1,2,4,3,1,3,3,3,3,4,3,4,4,1
1159,5,ES,2,2,9,2,2,2,2,2,3,2,2,3,3,3,1,2,5,1,4,1
1167,5,ES,2,4,2,3,2,3,2,2,1,1,1,3,4,2,3,2,2,2,4,1
1168,5,ES,1,1,9,1,1,4,1,1,4,1,1,4,4,4,4,4,5,1,4,3
1169,5,ES,1,1,9,1,2,2,1,1,4,3,1,1,2,1,2,1,2,1,2,1
1171,5,ES,2,2,1,1,2,2,2,2,3,1,1,2,3,3,3,2,4,4,4,1
1174,5,ES,1,1,9,2,2,2,1,1,4,2,1,3,2,2,2,2,4,2,2,1
1176,5,ES,2,3,9,1,1,2,1,1,4,2,1,3,3,1,2,3,3,1,3,3
1177,5,ES,1,1,9,1,1,2,1,1,4,2,1,4,3,3,3,3,5,1,4,2
1178,5,ES,1,1,9,1,3,3,2,1,4,3,1,3,4,4,2,1,5,1,3,1
